泰,0,0,0,304,0,56,0,0,0,0,20,334,6,0
岩,324,2,25,8,0,0,0,348,3,0,0,7,1,0
安,281,1,34,39,0,3,1,304,11,0,1,39,2,0
男,1,0,2,0,1,350,0,3,0,0,0,323,28,0
清,177,1,3,134,0,38,2,176,3,0,31,133,7,1
良,3,3,45,251,0,50,0,39,12,0,11,282,8,0
保,34,57,154,52,16,37,1,124,120,0,11,77,17,0
勝,50,0,9,215,0,75,1,57,1,0,48,241,1,0
祐,2,0,0,241,3,96,0,2,0,0,3,320,17,0
紀,5,0,0,69,58,204,2,3,0,0,2,259,70,0
江,130,2,133,11,6,52,0,250,15,0,0,44,25,0
誠,0,0,0,154,0,179,0,0,0,0,169,143,21,0
池,207,0,125,0,0,0,1,328,3,0,0,0,0,0
昭,0,0,0,134,0,196,0,0,0,0,13,315,2,0
竹,270,0,47,10,0,1,0,314,3,0,0,10,1,0
加,275,2,2,21,12,16,0,261,17,1,0,20,29,0
昌,1,0,0,290,0,30,0,1,0,0,5,313,2,0
淳,0,0,0,170,0,151,0,0,0,0,146,159,16,0
伸,0,0,0,226,0,90,0,0,0,0,15,288,13,0
福,296,0,13,7,0,0,0,309,0,0,0,6,1,0
生,34,5,44,8,1,220,0,74,9,0,0,222,7,0
仁,12,0,3,76,4,191,0,14,1,0,65,201,5,0
河,251,18,13,1,1,2,0,260,20,2,0,2,2,0
瀬,50,4,229,1,0,2,0,261,22,0,0,2,1,0
敏,0,0,0,202,0,83,0,0,0,0,22,263,0,0
金,262,4,9,7,0,0,12,256,7,0,0,7,0,0
杉,244,0,34,1,0,0,5,272,1,0,0,1,0,0
広,43,0,8,94,0,131,0,51,0,0,8,214,3,0
成,46,0,19,82,0,125,0,65,0,0,2,203,2,0
達,3,0,28,222,0,17,1,30,0,0,11,227,1,0
知,5,2,16,188,26,28,0,16,7,0,3,204,35,0
輔,0,0,0,0,0,263,0,0,0,0,0,258,5,0
哉,0,0,0,0,0,256,0,0,0,0,3,252,1,0
利,3,3,23,144,15,64,0,24,5,0,1,205,17,0
恵,2,0,0,102,20,127,0,1,1,0,19,175,55,0
剛,0,0,0,93,0,155,0,0,0,0,141,107,0,0
辺,1,2,245,0,0,0,0,242,6,0,0,0,0,0
塚,55,0,193,0,0,0,0,241,7,0,0,0,0,0
由,8,0,3,178,38,21,0,9,2,0,2,124,111,0
新,197,0,0,34,0,16,2,190,5,0,15,26,9,0
亮,0,0,0,106,0,141,0,0,0,0,80,165,2,0
典,0,0,0,66,0,179,0,0,0,0,0,244,1,0
佳,0,0,0,171,16,58,0,0,0,0,1,204,40,0
徳,63,0,7,50,1,123,0,70,0,0,1,165,8,0
古,209,3,19,1,0,8,0,214,16,1,0,0,9,0
倉,73,0,165,0,0,0,0,235,3,0,0,0,0,0
尚,0,0,0,179,0,58,0,0,0,0,23,211,3,0
憲,0,0,0,157,0,79,0,0,0,0,11,209,16,0
北,217,0,15,2,0,0,10,220,2,0,0,2,0,0
聡,0,0,0,60,0,174,0,0,0,0,166,60,8,0
修,0,0,0,117,0,117,0,0,0,0,111,119,4,0
克,0,0,0,201,0,32,0,0,0,0,6,226,1,0
朗,0,0,0,6,0,223,0,0,0,0,15,154,60,0
千,86,0,0,132,8,2,1,78,7,0,0,113,29,0
啓,0,0,0,173,0,55,0,0,0,0,33,180,15,0
津,57,13,121,1,33,2,0,162,29,0,0,3,33,0
元,15,0,90,76,0,44,0,104,1,0,33,83,4,0
里,12,1,38,46,48,78,2,40,9,0,0,95,77,0
茂,25,2,6,102,2,84,1,30,2,0,66,119,3,0
友,18,0,19,159,3,22,0,37,0,0,2,159,23,0
沢,16,0,204,0,0,0,1,206,13,0,0,0,0,0
豊,67,0,0,49,0,101,2,64,1,0,91,57,2,0
晃,0,0,0,108,0,109,0,0,0,0,54,158,5,0
堀,186,0,30,0,0,0,37,174,5,0,0,0,0,0
嶋,46,0,168,0,0,0,3,211,0,0,0,0,0,0
